# @name org.openrewrite.table.LanguageCompositionPerFile
# @instanceName Per-file language composition report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,sourcePath,language,sourceFileType,linesOfText,hasParseFailures,org1,org2
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/expiration/WorkflowExpirationService.java,Java,org.openrewrite.java.tree.J$CompilationUnit,44,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/logs/LogsStreamingAppender.java,Java,org.openrewrite.java.tree.J$CompilationUnit,37,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/logs/LogsStreamingService.java,Java,org.openrewrite.java.tree.J$CompilationUnit,66,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/BigStringCompressor.java,Java,org.openrewrite.java.tree.J$CompilationUnit,54,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/WorkflowManagementService.java,Java,org.openrewrite.java.tree.J$CompilationUnit,156,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/VersionedWorkflowBiConverter.java,Java,org.openrewrite.java.tree.J$CompilationUnit,31,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/VersionedWorkflowConverter.java,Java,org.openrewrite.java.tree.J$CompilationUnit,26,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/WorkflowConverter.java,Java,org.openrewrite.java.tree.J$CompilationUnit,27,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/converter/WorkflowVersionConverter.java,Java,org.openrewrite.java.tree.J$CompilationUnit,24,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/repository/VersionedWorkflowRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,30,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/repository/WorkflowExpirationJobRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,12,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/repository/domain/VersionedWorkflow.java,Java,org.openrewrite.java.tree.J$CompilationUnit,59,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/management/repository/domain/WorkflowExpirationJob.java,Java,org.openrewrite.java.tree.J$CompilationUnit,34,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/ActivityQueryRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,11,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/QueryRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,15,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/VariableQueryRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,12,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/WorkflowInstQueryRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,16,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/WorkflowQueryRepository.java,Java,org.openrewrite.java.tree.J$CompilationUnit,6,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/domain/ActivityInstanceDomain.java,Java,org.openrewrite.java.tree.J$CompilationUnit,22,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/domain/VariablesDomain.java,Java,org.openrewrite.java.tree.J$CompilationUnit,16,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/domain/WorkflowDomain.java,Java,org.openrewrite.java.tree.J$CompilationUnit,14,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/repository/domain/WorkflowInstanceDomain.java,Java,org.openrewrite.java.tree.J$CompilationUnit,20,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/MonitoringService.java,Java,org.openrewrite.java.tree.J$CompilationUnit,212,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/converter/ActivityInstViewConverter.java,Java,org.openrewrite.java.tree.J$CompilationUnit,25,false,Default,ALL
github.com,finos/symphony-wdk,master,workflow-bot-app/src/main/java/com/symphony/bdk/workflow/monitoring/service/converter/VersionedWorkflowViewConverter.java,Java,org.openrewrite.java.tree.J$CompilationUnit,20,false,Default,ALL
