# @name org.openrewrite.java.dependencies.table.DependencyListReport
# @instanceName Dependency report
# @group 
repositoryOrigin,repositoryPath,repositoryBranch,buildTool,groupId,artifactId,version,dependencyGroupId,dependencyArtifactId,dependencyVersion,direct,resolutionFailure,org1,org2
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.connectors,jersey-apache-connector,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,poll-bot,10.0.4-SNAPSHOT,org.glassfish.jersey.media,jersey-media-multipart,3.1.11,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,reminder-bot,10.0.4-SNAPSHOT,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,reminder-bot,10.0.4-SNAPSHOT,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,reminder-bot,10.0.4-SNAPSHOT,org.apache.commons,commons-lang3,3.17.0,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,reminder-bot,10.0.4-SNAPSHOT,com.sun.xml.bind,jaxb-core,2.3.0.1,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,reminder-bot,10.0.4-SNAPSHOT,javax.xml.bind,jaxb-api,2.3.1,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.tools,reminder-bot,10.0.4-SNAPSHOT,com.sun.xml.bind,jaxb-impl,2.3.1,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.demos,demo-bot,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.demos,demo-bot,10.0.4-SNAPSHOT,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.demos,demo-bot,10.0.4-SNAPSHOT,org.finos.springbot,teams-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.demos,custom-help-bot,10.0.4-SNAPSHOT,org.springframework.boot,spring-boot-starter,3.5.5,true,,Default,ALL
github.com,finos/spring-bot,spring-bot-master,Maven,org.finos.springbot.demos,custom-help-bot,10.0.4-SNAPSHOT,org.finos.springbot,symphony-bdk-chat-workflow-spring-boot-starter,10.0.4-SNAPSHOT,true,,Default,ALL
