repositoryOrigin,repositoryPath,repositoryBranch,buildToolType,buildToolVersion,lstSerializerVersion,timestampEpochMillis,timestampUtc
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691918782736,"2023-08-13T09:26:22.736650365Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691918477896,"2023-08-13T09:21:17.896719138Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917644854,"2023-08-13T09:07:24.854710275Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917490140,"2023-08-13T09:04:50.140542630Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691918112583,"2023-08-13T09:15:12.583685367Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917248219,"2023-08-13T09:00:48.219586234Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917200813,"2023-08-13T09:00:00.813506811Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917533237,"2023-08-13T09:05:33.237469011Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691918573903,"2023-08-13T09:22:53.903464697Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691918011017,"2023-08-13T09:13:31.017312722Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691918318330,"2023-08-13T09:18:38.330991603Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917161666,"2023-08-13T08:59:21.666401422Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917101950,"2023-08-13T08:58:21.950224181Z"
github.com,"spring-projects/spring-integration",main,Gradle,1.2.6,1.33.1,1691917924176,"2023-08-13T09:12:04.176040218Z"
